location,population,total_cases,total_deaths,cases_per_million,deaths_per_million
Afghanistan,40099462,202116,7818,5040.3669,194.9652
Albania,2854710,332772,3592,116569.4589,1258.2714
Algeria,44177969,270783,6881,6129.3673,155.7564
Andorra,79034,46449,157,587709.0872,1986.4868
Angola,34503774,103131,1920,2988.9774,55.6461
Anguilla,15753,3866,13,245413.5720,825.2396
"Antigua and Barbuda",93220,9108,146,97704.3553,1566.1875
Argentina,45276780,9717546,129979,214625.3775,2870.7651
Armenia,2790974,444869,8708,159395.6088,3120.0577
Aruba,106536,44145,292,414366.9745,2740.8576
Australia,25921089,10373177,15221,400182.9167,587.2053
Austria,8922082,5400765,21004,605325.6404,2354.1590
Azerbaijan,10312992,822979,9937,79800.2170,963.5419
Bahamas,407906,37390,833,91663.2754,2042.1372
Bahrain,1463265,687591,1524,469901.8975,1041.5065
Bangladesh,169356251,2034141,29413,12011.0181,173.6753
Barbados,281200,103014,560,366337.1266,1991.4651
Belarus,9578168,994037,7118,103781.5373,743.1484
Belgium,11611420,4602438,32963,396371.6755,2838.8431
Belize,400031,68926,691,172301.6466,1727.3661
Benin,12996895,27991,163,2153.6682,12.5415
Bermuda,64185,18340,148,285736.5428,2305.8347
Bhutan,777486,62248,21,80063.1780,27.0101
Bolivia,12079472,1109238,22239,91828.3514,1841.0573
"Bonaire Sint Eustatius and Saba",26706,11427,40,427881.3750,1497.7908
"Bosnia and Herzegovina",3270943,399663,16187,122185.8651,4948.7258
Botswana,2588423,326344,2790,126078.3110,1077.8764
Brazil,214326223,34675516,687610,161788.4901,3208.2402
"British Virgin Islands",31122,7305,64,234721.4189,2056.4231
Brunei,445373,234600,225,526749.4886,505.1945
Bulgaria,6885868,1274336,37821,185065.4122,5492.5537
"Burkina Faso",22100683,21631,387,978.7480,17.5108
Burundi,12551213,50413,38,4016.5839,3.0276
Cambodia,16589023,137979,3056,8317.4880,184.2182
Cameroon,27198628,121652,1935,4472.7256,71.1433
Canada,38155012,4361808,46592,114318.0875,1221.1240
"Cape Verde",587925,62397,411,106130.8840,699.0688
"Cayman Islands",68136,30926,35,453886.3450,513.6785
"Central African Republic",5457154,15151,113,2776.3556,20.7068
Chad,17179740,7613,193,443.1383,11.2342
Chile,19493184,4715098,49258,241884.4454,2526.9345
China,1425893464,1019502,3924,714.9917,2.7520
Colombia,51516562,6309168,141827,122468.7315,2753.0370
Comoros,821626,8481,163,10322.2147,198.3871
Congo,5835806,24837,417,4255.9674,71.4554
"Cook Islands",17003,6389,1,375757.2193,58.8132
"Costa Rica",5153957,1130568,8986,219359.2224,1743.5147
"Cote d'Ivoire",27478249,87734,827,3192.8526,30.0965
Croatia,4060135,1244642,17076,306551.8757,4205.7715
Cuba,11256372,1111267,8531,98723.3720,757.8818
Curacao,190338,45434,289,238701.6781,1518.3516
Cyprus,896007,596297,1191,665504.8454,1329.2307
Czechia,10510750,4154346,41522,395247.3420,3950.4317
"Democratic Republic of Congo",95894118,93027,1445,970.1012,15.0687
Denmark,5854240,3327948,7193,568467.9822,1228.6821
Djibouti,1105557,15690,189,14191.9413,170.9546
Dominica,72412,15794,74,218113.0199,1021.9301
"Dominican Republic",11117874,647205,4384,58213.0181,394.3200
Ecuador,17797737,1019026,23270,57255.9309,1307.4696
Egypt,109262178,515645,24798,4719.3366,226.9587
"El Salvador",6314167,201877,4230,31972.0717,669.9221
England,56550000,NULL,NULL,NULL,NULL
"Equatorial Guinea",1634466,17230,183,10541.6693,111.9632
Eritrea,3620312,10185,103,2813.2934,28.4506
Estonia,1328701,606392,2738,456379.5767,2060.6592
Eswatini,1192271,73526,1422,61668.8656,1192.6819
Ethiopia,120283026,493875,7572,4105.9409,62.9515
"Faeroe Islands",52888,34658,28,655309.3329,529.4207
"Falkland Islands",3764,1932,NULL,513283.7407,NULL
Fiji,924610,68257,880,73822.4765,951.7526
Finland,5535992,1335318,6223,241206.6347,1124.0984
France,67422000,37040381,156793,549381.2257,2325.5466
"French Polynesia",304032,76740,649,252407.6413,2134.6437
Gabon,2341179,48810,306,20848.4699,130.7034
Gambia,2639916,12608,372,4775.9095,140.9136
Georgia,3757980,1780691,16900,473842.5963,4497.0968
Germany,83408554,35172753,152503,421692.3962,1828.3856
Ghana,32833031,170573,1460,5195.1646,44.4674
Gibraltar,32670,20144,108,616590.1439,3305.7851
Greece,10445365,5081981,33426,486529.7670,3200.0797
Greenland,56243,11972,22,212862.0451,391.1598
Grenada,124610,19601,237,157298.7722,1901.9340
Guam,170534,NULL,NULL,NULL,NULL
Guatemala,17608483,1136676,19872,64552.7499,1128.5470
Guernsey,63065,NULL,NULL,NULL,NULL
Guinea,13531906,37999,456,2808.1040,33.6981
Guinea-Bissau,2060721,8831,176,4285.3933,85.4070
Guyana,804567,71437,1281,88789.3737,1592.1608
Haiti,11447569,33799,858,2952.5046,74.9504
Honduras,10278346,457008,11131,44463.1850,1082.9563
"Hong Kong",7494578,1875625,10326,250264.2577,1377.7961
Hungary,9709786,2132490,47798,219622.7600,4922.6626
